topic_id,topic_name,oss_id,license_id,license_name
6,Games,1,17,other_license
6,Games,5,6,mit_license
8,"Science and Engineering",7,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
7,Graphics,9,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,13,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,29,6,mit_license
4,Development,29,16,public_domain
10,"System Administration",36,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,37,5,apache_license_v2.0
5,"Home and Education",41,11,open_software_license_3.0_(osl3.0)
10,"System Administration",45,2,bsd_license
4,Development,48,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,49,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,50,5,apache_license_v2.0
8,"Science and Engineering",52,2,bsd_license
8,"Science and Engineering",52,6,mit_license
4,Development,53,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
9,"Security and Utilities",56,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,57,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,58,1,gnu_general_public_license_version_2.0_(gplv2)
5,"Home and Education",62,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,68,5,apache_license_v2.0
4,Development,73,24,mozilla_public_license_2.0_(mpl_2.0)
4,Development,74,1,gnu_general_public_license_version_2.0_(gplv2)
2,"Business and Enterprise",77,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
2,"Business and Enterprise",77,33,mozilla_public_license_1.0_(mpl)
7,Graphics,81,1,gnu_general_public_license_version_2.0_(gplv2)
7,Graphics,81,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
2,"Business and Enterprise",82,1,gnu_general_public_license_version_2.0_(gplv2)
9,"Security and Utilities",84,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,85,6,mit_license
6,Games,86,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,89,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,94,2,bsd_license
4,Development,95,22,eclipse_public_license
2,"Business and Enterprise",96,3,gnu_general_public_license_version_3.0_(gplv3)
2,"Business and Enterprise",96,6,mit_license
10,"System Administration",97,1,gnu_general_public_license_version_2.0_(gplv2)
3,Communications,98,16,public_domain
10,"System Administration",99,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,101,2,bsd_license
4,Development,102,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,102,2,bsd_license
6,Games,104,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,104,19,creative_commons_attribution_sharealike_license_v3.0
10,"System Administration",107,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,108,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",109,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",109,6,mit_license
7,Graphics,110,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",111,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",113,2,bsd_license
8,"Science and Engineering",115,2,bsd_license
6,Games,116,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
8,"Science and Engineering",117,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,122,21,zlib_libpng_license
2,"Business and Enterprise",123,2,bsd_license
4,Development,125,5,apache_license_v2.0
3,Communications,128,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,129,38,isc_license
4,Development,131,5,apache_license_v2.0
2,"Business and Enterprise",134,39,creative_commons_attribution_license
4,Development,135,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,136,5,apache_license_v2.0
4,Development,136,6,mit_license
4,Development,137,2,bsd_license
4,Development,138,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,139,14,affero_gnu_public_license
4,Development,140,2,bsd_license
4,Development,142,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,142,24,mozilla_public_license_2.0_(mpl_2.0)
4,Development,143,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
10,"System Administration",144,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,145,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
9,"Security and Utilities",149,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
4,Development,150,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,150,2,bsd_license
4,Development,150,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
8,"Science and Engineering",151,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
8,"Science and Engineering",155,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",156,16,public_domain
4,Development,157,6,mit_license
10,"System Administration",159,1,gnu_general_public_license_version_2.0_(gplv2)
9,"Security and Utilities",160,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",161,10,apache_software_license
4,Development,162,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,163,21,zlib_libpng_license
3,Communications,164,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,165,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,166,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,166,17,other_license
2,"Business and Enterprise",167,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",168,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",169,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",171,6,mit_license
8,"Science and Engineering",172,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,173,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
10,"System Administration",174,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,175,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",180,40,academic_free_license_(afl)
10,"System Administration",183,2,bsd_license
10,"System Administration",188,6,mit_license
4,Development,189,2,bsd_license
4,Development,190,2,bsd_license
6,Games,193,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
6,Games,198,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,198,17,other_license
4,Development,201,41,boost_software_license_(bsl1.0)
10,"System Administration",202,5,apache_license_v2.0
10,"System Administration",203,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",203,9,artistic_license
8,"Science and Engineering",204,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,205,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,209,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,210,39,creative_commons_attribution_license
3,Communications,211,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,214,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",216,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,219,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
9,"Security and Utilities",220,19,creative_commons_attribution_sharealike_license_v3.0
10,"System Administration",221,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,222,6,mit_license
4,Development,223,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
10,"System Administration",226,42,open_software_license
4,Development,228,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",229,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,230,5,apache_license_v2.0
9,"Security and Utilities",231,2,bsd_license
4,Development,232,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,233,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
10,"System Administration",234,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",235,2,bsd_license
1,"Audio and Video",236,24,mozilla_public_license_2.0_(mpl_2.0)
4,Development,237,6,mit_license
6,Games,239,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,239,5,apache_license_v2.0
4,Development,240,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,240,6,mit_license
6,Games,242,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,244,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,244,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,244,13,mozilla_public_license_1.1_(mpl_1.1)
4,Development,245,1,gnu_general_public_license_version_2.0_(gplv2)
1,"Audio and Video",248,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,252,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",253,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,254,2,bsd_license
4,Development,255,14,affero_gnu_public_license
8,"Science and Engineering",256,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,257,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,259,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,265,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,266,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",267,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,268,2,bsd_license
4,Development,271,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
10,"System Administration",272,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,273,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,276,5,apache_license_v2.0
6,Games,278,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,279,19,creative_commons_attribution_sharealike_license_v3.0
4,Development,281,24,mozilla_public_license_2.0_(mpl_2.0)
4,Development,282,2,bsd_license
8,"Science and Engineering",283,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,285,41,boost_software_license_(bsl1.0)
4,Development,286,5,apache_license_v2.0
4,Development,288,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,290,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",291,5,apache_license_v2.0
2,"Business and Enterprise",294,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
2,"Business and Enterprise",294,5,apache_license_v2.0
4,Development,296,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",297,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,299,22,eclipse_public_license
6,Games,300,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,302,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,303,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",304,17,other_license
10,"System Administration",308,12,common_public_license_1.0
4,Development,309,5,apache_license_v2.0
4,Development,310,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,311,3,gnu_general_public_license_version_3.0_(gplv3)
2,"Business and Enterprise",312,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,313,2,bsd_license
4,Development,316,6,mit_license
6,Games,317,5,apache_license_v2.0
10,"System Administration",318,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,319,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,322,2,bsd_license
4,Development,325,1,gnu_general_public_license_version_2.0_(gplv2)
2,"Business and Enterprise",326,1,gnu_general_public_license_version_2.0_(gplv2)
2,"Business and Enterprise",327,2,bsd_license
4,Development,330,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,331,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,336,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",337,1,gnu_general_public_license_version_2.0_(gplv2)
1,"Audio and Video",338,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,340,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",341,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",343,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,344,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",345,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,346,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,346,22,eclipse_public_license
4,Development,347,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",348,2,bsd_license
9,"Security and Utilities",350,3,gnu_general_public_license_version_3.0_(gplv3)
7,Graphics,351,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
10,"System Administration",352,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",354,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",355,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",355,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
9,"Security and Utilities",359,14,affero_gnu_public_license
9,"Security and Utilities",359,17,other_license
6,Games,360,19,creative_commons_attribution_sharealike_license_v3.0
4,Development,361,3,gnu_general_public_license_version_3.0_(gplv3)
2,"Business and Enterprise",362,5,apache_license_v2.0
4,Development,364,22,eclipse_public_license
10,"System Administration",365,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,366,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,366,16,public_domain
9,"Security and Utilities",368,22,eclipse_public_license
4,Development,370,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
8,"Science and Engineering",371,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,372,2,bsd_license
2,"Business and Enterprise",373,14,affero_gnu_public_license
8,"Science and Engineering",374,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,378,5,apache_license_v2.0
6,Games,380,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
2,"Business and Enterprise",386,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",387,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",388,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",388,10,apache_software_license
4,Development,389,1,gnu_general_public_license_version_2.0_(gplv2)
2,"Business and Enterprise",396,44,zope_public_license
5,"Home and Education",397,14,affero_gnu_public_license
4,Development,398,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,399,5,apache_license_v2.0
8,"Science and Engineering",400,9,artistic_license
4,Development,401,3,gnu_general_public_license_version_3.0_(gplv3)
2,"Business and Enterprise",402,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",404,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,406,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",407,3,gnu_general_public_license_version_3.0_(gplv3)
1,"Audio and Video",408,21,zlib_libpng_license
2,"Business and Enterprise",409,3,gnu_general_public_license_version_3.0_(gplv3)
3,Communications,411,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
8,"Science and Engineering",413,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,415,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",416,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,417,2,bsd_license
4,Development,418,5,apache_license_v2.0
6,Games,424,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,425,5,apache_license_v2.0
2,"Business and Enterprise",426,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
4,Development,430,2,bsd_license
10,"System Administration",431,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,437,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,439,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,445,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,446,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,446,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
8,"Science and Engineering",449,2,bsd_license
4,Development,451,14,affero_gnu_public_license
8,"Science and Engineering",454,2,bsd_license
4,Development,457,45,open_font_license_1.1_(ofl_1.1)
5,"Home and Education",459,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,460,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,461,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,462,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,462,16,public_domain
10,"System Administration",463,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",464,3,gnu_general_public_license_version_3.0_(gplv3)
3,Communications,465,6,mit_license
3,Communications,466,3,gnu_general_public_license_version_3.0_(gplv3)
9,"Security and Utilities",468,5,apache_license_v2.0
7,Graphics,469,3,gnu_general_public_license_version_3.0_(gplv3)
7,Graphics,469,5,apache_license_v2.0
4,Development,471,6,mit_license
5,"Home and Education",478,18,creative_commons_attribution_non_commercial_license_v2.0
5,"Home and Education",478,19,creative_commons_attribution_sharealike_license_v3.0
4,Development,479,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,480,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",484,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",485,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",486,5,apache_license_v2.0
3,Communications,488,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,490,16,public_domain
6,Games,491,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",496,2,bsd_license
4,Development,499,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,500,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,501,2,bsd_license
8,"Science and Engineering",502,1,gnu_general_public_license_version_2.0_(gplv2)
3,Communications,503,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,505,14,affero_gnu_public_license
8,"Science and Engineering",508,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",509,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,513,1,gnu_general_public_license_version_2.0_(gplv2)
9,"Security and Utilities",514,21,zlib_libpng_license
10,"System Administration",515,18,creative_commons_attribution_non_commercial_license_v2.0
4,Development,516,1,gnu_general_public_license_version_2.0_(gplv2)
9,"Security and Utilities",517,1,gnu_general_public_license_version_2.0_(gplv2)
7,Graphics,518,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,519,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
6,Games,523,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,524,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,525,2,bsd_license
5,"Home and Education",527,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,530,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,533,2,bsd_license
10,"System Administration",534,2,bsd_license
8,"Science and Engineering",544,6,mit_license
8,"Science and Engineering",544,17,other_license
8,"Science and Engineering",544,19,creative_commons_attribution_sharealike_license_v3.0
7,Graphics,545,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,546,5,apache_license_v2.0
8,"Science and Engineering",547,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,548,3,gnu_general_public_license_version_3.0_(gplv3)
2,"Business and Enterprise",549,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,550,2,bsd_license
10,"System Administration",553,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,555,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,555,9,artistic_license
4,Development,556,17,other_license
4,Development,563,38,isc_license
6,Games,565,1,gnu_general_public_license_version_2.0_(gplv2)
3,Communications,568,5,apache_license_v2.0
3,Communications,569,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,571,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,572,2,bsd_license
4,Development,573,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,575,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",576,3,gnu_general_public_license_version_3.0_(gplv3)
3,Communications,577,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",579,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,580,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",581,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,587,39,creative_commons_attribution_license
8,"Science and Engineering",588,5,apache_license_v2.0
4,Development,592,5,apache_license_v2.0
1,"Audio and Video",593,2,bsd_license
1,"Audio and Video",593,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
5,"Home and Education",594,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,595,3,gnu_general_public_license_version_3.0_(gplv3)
3,Communications,600,1,gnu_general_public_license_version_2.0_(gplv2)
3,Communications,600,2,bsd_license
3,Communications,600,5,apache_license_v2.0
4,Development,602,5,apache_license_v2.0
7,Graphics,603,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",607,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
2,"Business and Enterprise",608,5,apache_license_v2.0
10,"System Administration",609,24,mozilla_public_license_2.0_(mpl_2.0)
4,Development,611,5,apache_license_v2.0
4,Development,612,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",613,5,apache_license_v2.0
4,Development,615,16,public_domain
3,Communications,617,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,623,6,mit_license
6,Games,625,1,gnu_general_public_license_version_2.0_(gplv2)
7,Graphics,627,2,bsd_license
2,"Business and Enterprise",632,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,633,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
9,"Security and Utilities",634,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,636,5,apache_license_v2.0
4,Development,637,2,bsd_license
10,"System Administration",641,6,mit_license
